price,size_in_m_2,longitude,latitude,no_of_bedrooms,no_of_bathrooms,quality
1150000,67.726287,55.14145500000001,25.099744,1,2,1
2500000,139.447403,55.345908,25.209767000000003,2,3,1
1739999,106.188129,55.34419499999999,25.203844,2,3,1
5460661,130.0642,55.267099,25.18868,2,3,0
1471888,92.53138799999999,55.24734,25.111805,2,3,0
1165000,92.717194,55.24734,25.111805,2,3,1
1900000,218.507856,55.131088,25.071448,2,3,1
3621888,171.591841,55.343101,25.202808,3,4,0
1780888,92.717194,55.269318000000005,25.194031,2,3,0
1780888,92.345582,55.269318000000005,25.194031,2,3,0
2042888,129.413879,55.34911,25.201227,3,4,0
1710000,120.866803,55.25277,25.240419,2,3,0
6400000,272.391596,55.25277,25.240419,4,5,0
1234000,75.901751,55.25277,25.240419,1,2,0
1737000,119.84487,55.25277,25.240419,2,3,0
1459000,73.764982,55.25277,25.240419,1,2,0
1868000,112.970048,55.25277,25.240419,2,3,1
2008000,125.233244,55.189006000000006,25.137198,2,3,1
1592892,122.910669,55.264968,25.193359,2,3,0
1650000,120.7739,55.264968,25.193359,2,3,1
649888,29.171542,55.138635,25.112193,0,1,1
876888,32.794759,55.138635,25.112193,0,1,0
1600000,90.580425,55.14668100000001,25.087147,1,2,1
1750000,103.029427,55.139276,25.0967,2,3,0
1950000,104.05136,55.271797,25.195483,2,2,1
1550000,112.970048,55.280662,25.202977,2,3,1
850000,153.28995,55.398644,25.123141,2,3,1
1500000,126.069371,55.33868,25.225739,2,3,2
657903,79.060453,55.20955,25.04866,1,2,1
1367000,75.994654,55.25277,25.240419,1,1,0
18614888,500.096849,55.272126,25.196489,4,6,2
1500888,192.30921,55.283576,25.273623,2,2,1
520000,99.499113,55.217965,25.039514,2,3,0
1900000,214.977542,55.132888,25.073778,2,2,1
1750000,162.58025,55.109525,25.112725,2,3,1
4500000,357.212035,55.313162,25.100921,3,4,1
3000000,295.43154,55.146759,25.088431,4,4,2
12930000,283.261247,55.271884,25.194282,4,6,0
1750000,149.202218,55.246280000000006,25.114553,3,3,1
1375000,128.20614,55.171838,25.088533,2,3,1
3100000,138.239664,55.12067,25.079276,2,3,0
1690000,106.83845,55.271797,25.195483,2,2,2
799900,91.881067,55.266317,25.192522,1,1,1
580000,58.621793,55.281229,25.010599,1,1,1
1700000,124.025505,55.275682,25.188743,2,3,0
1699000,124.304214,55.137591,25.111108,1,2,1
1400000,120.680997,55.281004,25.18984,2,3,0
2450000,204.758212,55.135687,25.075974,3,4,0
2298999,172.985386,55.262829,25.208262,2,3,1
605000,47.659239,55.26667,25.183515,0,1,1
599000,82.219155,55.376107,25.112525,1,2,1
4681888,159.79316,55.271884,25.194282,2,3,0
2500000,168.804751,55.134763,25.078122,2,3,1
1800000,119.008743,55.136286,25.072375,2,3,1
1890000,116.593265,55.14736,25.086376,2,3,0
1750000,168.340236,55.109525,25.112725,2,3,0
1100000,67.81919,55.280662,25.202977,1,1,0
900000,91.881067,55.247980000000005,25.109367,1,1,0
1295000,237.274262,55.16360400000001,25.007528,3,2,0
1640000,120.959706,55.141977,25.081622,2,3,1
1200000,68.097899,55.25277,25.240419,1,2,0
350000,49.703105,55.376107,25.112525,0,1,1
1150000,112.41263,55.139742000000005,25.07907,2,4,1
589000,78.410132,55.210235,25.063841,1,2,1
1670000,126.905498,55.132888,25.073778,2,3,1
1550000,272.298693,55.241586,25.045661,3,3,0
1650000,81.011416,55.270983,25.201718,1,2,0
2650000,138.704179,55.153066,25.125472,2,2,0
1930000,190.07953799999999,55.136122,25.114513,2,3,1
368000,35.767655,55.20792900000001,25.066252,0,1,1
5500000,212.283355,55.270189,25.201204,4,4,0
3900000,183.762134,55.271342,25.198796,3,4,0
1500000,160.443481,55.133324,25.069944,2,3,1
1650000,102.56491199999999,55.27875600000001,25.195235,2,3,2
1150000,149.295121,55.199369,25.052714,3,4,0
1890000,95.03976899999999,55.25277,25.240419,2,3,1
15800000,488.019459,55.272126,25.196489,4,5,1
3000000,122.353251,55.271449,25.195237,2,3,1
4000000,177.258924,55.27875600000001,25.195235,3,3,1
1625000,81.290125,55.147768000000006,25.086575,1,2,0
2243000,120.12357899999999,55.275166000000006,25.187556,2,2,1
800000,95.504284,55.143825,25.074521,1,2,1
2650000,150.131248,55.280662,25.202977,3,4,1
1239000,69.398541,55.277662,25.199782,1,1,1
4100000,164.809922,55.276331000000006,25.200879,2,3,0
2600888,147.065449,55.247341000000006,25.111798,3,3,1
1200000,68.097899,55.25277,25.240419,1,1,0
3150000,152.825435,55.14847,25.104115,2,2,2
1100000,102.286203,55.138863,25.081955,1,2,1
2499000,135.917089,55.128089,25.072954,2,3,1
1061888,67.81919,55.25912,25.121564000000003,2,2,1
930888,86.39979,55.293818,24.999981,2,2,1
453888,31.494117,55.291873,24.998576,0,1,1
2040888,149.295121,55.248755,25.11576,3,3,1
1100000,77.016587,55.129145,25.069266,2,2,1
1261142,68.934026,55.2758,25.171461,1,2,1
1170000,91.04494,55.145574,25.087251,1,2,1
2499000,126.998401,55.111349,25.106964,2,5,0
1642777,92.717194,55.294217,25.233787,1,2,0
1450000,138.146761,55.244923,25.107984,2,3,0
1276686,70.60628,55.2758,25.171461,1,2,1
1550000,91.97397,55.294217,25.233787,1,2,1
2046777,151.803502,55.294217,25.233787,2,3,1
3700000,210.88981,55.261734,25.20179,3,4,0
2800000,200.298868,55.140778000000005,25.11309,3,4,0
2999900,165.181534,55.274196,25.197316,2,3,0
2650000,165.924758,55.137997,25.075017000000003,3,4,0
3500000,164.066698,55.152727,25.131393,2,3,1
1300000,105.259099,55.277978,25.207533,1,2,0
2950000,139.633209,55.134135,25.076944,2,3,0
1780000,95.504284,55.128089,25.072954,1,2,1
675000,76.737878,55.294028,25.15899,1,1,0
1450000,118.358422,55.275199,25.206412,1,2,1
1010000,79.89658,55.27389599999999,25.191404,1,2,1
5750000,239.132322,55.13862099999999,25.084102,3,5,1
1250000,105.259099,55.277978,25.207533,1,2,0
4649900,247.400689,55.274196,25.197316,3,4,1
1250000,112.41263,55.139082,25.079966,2,3,1
2049999,96.526217,55.28019499999999,25.191642,2,3,1
888000,82.49786399999999,55.283132,25.015608,2,2,1
16950000,455.875021,55.288975,25.188299,3,3,1
30950000,735.977566,55.288975,25.188299,4,4,1
1225000,68.283705,55.14145500000001,25.099744,1,2,1
2577888,125.604856,55.269318000000005,25.194031,3,4,0
1025888,66.89016,55.138103,25.111902,1,2,1
913548,49.145687,55.142624,25.082217,0,1,0
2250000,157.9351,55.269309,25.191634,2,3,1
1275000,82.962379,55.28205,25.211032,1,1,1
350000,48.959881,55.254155,25.020958,0,1,1
780000,65.682421,55.344345,25.204135,1,1,0
1650000,97.455247,55.284124,25.196592000000003,2,3,0
424340,35.767655,55.203684,25.066791,0,1,1
1800000,102.1933,55.153066,25.125472,1,2,1
3175000,211.911743,55.142615,25.115747,3,4,1
1500000,141.677075,55.145205,25.086726,2,3,1
1850000,86.864305,55.151574,25.132519,1,2,1
990000,67.075966,55.244923,25.107984,1,1,1
750000,60.201144,55.248755,25.11576,1,1,1
900000,96.247508,55.26250699999999,25.181311,1,1,2
1700000,108.139092,55.25277,25.240419,2,3,1
1271000,68.004996,55.25277,25.240419,1,2,1
485000,56.020509,55.291467,25.010196,1,1,1
1125000,120.7739,55.140521,25.111822,1,1,0
1000000,63.266943,55.280662,25.202977,1,2,0
700000,52.304389,55.281516,25.18543,0,1,0
725000,64.288876,55.281116,25.185156,0,1,0
1300000,167.132497,55.145552,25.10813,2,3,0
778000,67.81919,55.245729,25.07001,1,2,2
2099999,128.391946,55.147768000000006,25.086575,2,3,0
17910000,580.272138,55.168509,25.10355,4,5,1
15460000,402.362893,55.168509,25.10355,3,4,1
700000,92.903,55.14935,25.022618,2,3,1
450000,46.4515,55.139480000000006,25.065355,0,1,0
1275000,119.101646,55.269631,25.196593,2,3,1
15490000,366.409432,55.168509,25.10355,3,4,1
15830000,330.177262,55.168509,25.10355,3,4,1
15910000,324.417276,55.168509,25.10355,4,5,1
21990000,580.829556,55.168509,25.10355,4,5,1
21870000,481.980764,55.168509,25.10355,4,5,1
22640000,511.431015,55.168509,25.10355,4,5,1
1246305,72.46433999999999,55.2758,25.171461,1,2,2
2085804,103.029427,55.2758,25.171461,2,3,2
1246305,72.46433999999999,55.2758,25.171461,1,2,2
1400000,126.162274,55.247980000000005,25.109367,2,2,1
2850000,125.41905,55.151405,25.132021,2,2,0
